threads,run,output
1,6,Sorted correctly
Chase-Lev time: 68028 us
Tasks created: 38778
1,7,Sorted correctly
Chase-Lev time: 66485 us
Tasks created: 38778
1,8,Sorted correctly
Chase-Lev time: 65941 us
Tasks created: 38778
1,9,Sorted correctly
Chase-Lev time: 66309 us
Tasks created: 38778
1,10,Sorted correctly
Chase-Lev time: 68718 us
Tasks created: 38778
1,11,Sorted correctly
Chase-Lev time: 67174 us
Tasks created: 38778
1,12,Sorted correctly
Chase-Lev time: 69927 us
Tasks created: 38778
1,13,Sorted correctly
Chase-Lev time: 67142 us
Tasks created: 38778
1,14,Sorted correctly
Chase-Lev time: 67051 us
Tasks created: 38778
1,15,Sorted correctly
Chase-Lev time: 66520 us
Tasks created: 38778
1,16,Sorted correctly
Chase-Lev time: 71088 us
Tasks created: 38778
1,17,Sorted correctly
Chase-Lev time: 66520 us
Tasks created: 38778
1,18,Sorted correctly
Chase-Lev time: 66462 us
Tasks created: 38778
1,19,Sorted correctly
Chase-Lev time: 71179 us
Tasks created: 38778
1,20,Sorted correctly
Chase-Lev time: 72285 us
Tasks created: 38778
1,21,Sorted correctly
Chase-Lev time: 68628 us
Tasks created: 38778
1,22,Sorted correctly
Chase-Lev time: 68695 us
Tasks created: 38778
1,23,Sorted correctly
Chase-Lev time: 66026 us
Tasks created: 38778
1,24,Sorted correctly
Chase-Lev time: 65366 us
Tasks created: 38778
1,25,Sorted correctly
Chase-Lev time: 59417 us
Tasks created: 38778
1,26,Sorted correctly
Chase-Lev time: 65788 us
Tasks created: 38778
1,27,Sorted correctly
Chase-Lev time: 61957 us
Tasks created: 38778
1,28,Sorted correctly
Chase-Lev time: 60949 us
Tasks created: 38778
1,29,Sorted correctly
Chase-Lev time: 59871 us
Tasks created: 38778
1,30,Sorted correctly
Chase-Lev time: 61433 us
Tasks created: 38778
1,31,Sorted correctly
Chase-Lev time: 60369 us
Tasks created: 38778
1,32,Sorted correctly
Chase-Lev time: 60407 us
Tasks created: 38778
1,33,Sorted correctly
Chase-Lev time: 61709 us
Tasks created: 38778
1,34,Sorted correctly
Chase-Lev time: 60137 us
Tasks created: 38778
1,35,Sorted correctly
Chase-Lev time: 63032 us
Tasks created: 38778
1,36,Sorted correctly
Chase-Lev time: 59600 us
Tasks created: 38778
1,37,Sorted correctly
Chase-Lev time: 60069 us
Tasks created: 38778
1,38,Sorted correctly
Chase-Lev time: 58972 us
Tasks created: 38778
1,39,Sorted correctly
Chase-Lev time: 61200 us
Tasks created: 38778
1,40,Sorted correctly
Chase-Lev time: 60345 us
Tasks created: 38778
1,41,Sorted correctly
Chase-Lev time: 61150 us
Tasks created: 38778
1,42,Sorted correctly
Chase-Lev time: 58965 us
Tasks created: 38778
1,43,Sorted correctly
Chase-Lev time: 58974 us
Tasks created: 38778
1,44,Sorted correctly
Chase-Lev time: 60031 us
Tasks created: 38778
1,45,Sorted correctly
Chase-Lev time: 60926 us
Tasks created: 38778
1,46,Sorted correctly
Chase-Lev time: 61839 us
Tasks created: 38778
1,47,Sorted correctly
Chase-Lev time: 61845 us
Tasks created: 38778
1,48,Sorted correctly
Chase-Lev time: 62321 us
Tasks created: 38778
1,49,Sorted correctly
Chase-Lev time: 58467 us
Tasks created: 38778
1,50,Sorted correctly
Chase-Lev time: 60639 us
Tasks created: 38778
1,51,Sorted correctly
Chase-Lev time: 59571 us
Tasks created: 38778
1,52,Sorted correctly
Chase-Lev time: 60350 us
Tasks created: 38778
1,53,Sorted correctly
Chase-Lev time: 60254 us
Tasks created: 38778
1,54,Sorted correctly
Chase-Lev time: 62850 us
Tasks created: 38778
1,55,Sorted correctly
Chase-Lev time: 60106 us
Tasks created: 38778
1,56,Sorted correctly
Chase-Lev time: 59359 us
Tasks created: 38778
1,57,Sorted correctly
Chase-Lev time: 59785 us
Tasks created: 38778
1,58,Sorted correctly
Chase-Lev time: 59666 us
Tasks created: 38778
1,59,Sorted correctly
Chase-Lev time: 60235 us
Tasks created: 38778
1,60,Sorted correctly
Chase-Lev time: 59583 us
Tasks created: 38778
2,6,Sorted correctly
Chase-Lev time: 31557 us
Tasks created: 38778
2,7,Sorted correctly
Chase-Lev time: 32061 us
Tasks created: 38778
2,8,Sorted correctly
Chase-Lev time: 31804 us
Tasks created: 38778
2,9,Sorted correctly
Chase-Lev time: 31298 us
Tasks created: 38778
2,10,Sorted correctly
Chase-Lev time: 32281 us
Tasks created: 38778
2,11,Sorted correctly
Chase-Lev time: 30175 us
Tasks created: 38778
2,12,Sorted correctly
Chase-Lev time: 31875 us
Tasks created: 38778
2,13,Sorted correctly
Chase-Lev time: 31576 us
Tasks created: 38778
2,14,Sorted correctly
Chase-Lev time: 31726 us
Tasks created: 38778
2,15,Sorted correctly
Chase-Lev time: 31534 us
Tasks created: 38778
2,16,Sorted correctly
Chase-Lev time: 31657 us
Tasks created: 38778
2,17,Sorted correctly
Chase-Lev time: 30180 us
Tasks created: 38778
2,18,Sorted correctly
Chase-Lev time: 30826 us
Tasks created: 38778
2,19,Sorted correctly
Chase-Lev time: 34243 us
Tasks created: 38778
2,20,Sorted correctly
Chase-Lev time: 30047 us
Tasks created: 38778
2,21,Sorted correctly
Chase-Lev time: 30481 us
Tasks created: 38778
2,22,Sorted correctly
Chase-Lev time: 30411 us
Tasks created: 38778
2,23,Sorted correctly
Chase-Lev time: 30884 us
Tasks created: 38778
2,24,Sorted correctly
Chase-Lev time: 31492 us
Tasks created: 38778
2,25,Sorted correctly
Chase-Lev time: 32358 us
Tasks created: 38778
2,26,Sorted correctly
Chase-Lev time: 30135 us
Tasks created: 38778
2,27,Sorted correctly
Chase-Lev time: 30252 us
Tasks created: 38778
2,28,Sorted correctly
Chase-Lev time: 30452 us
Tasks created: 38778
2,29,Sorted correctly
Chase-Lev time: 30848 us
Tasks created: 38778
2,30,Sorted correctly
Chase-Lev time: 30755 us
Tasks created: 38778
2,31,Sorted correctly
Chase-Lev time: 30276 us
Tasks created: 38778
2,32,Sorted correctly
Chase-Lev time: 31351 us
Tasks created: 38778
2,33,Sorted correctly
Chase-Lev time: 30257 us
Tasks created: 38778
2,34,Sorted correctly
Chase-Lev time: 30414 us
Tasks created: 38778
2,35,Sorted correctly
Chase-Lev time: 30678 us
Tasks created: 38778
2,36,Sorted correctly
Chase-Lev time: 31714 us
Tasks created: 38778
2,37,Sorted correctly
Chase-Lev time: 32103 us
Tasks created: 38778
2,38,Sorted correctly
Chase-Lev time: 33043 us
Tasks created: 38778
2,39,Sorted correctly
Chase-Lev time: 32110 us
Tasks created: 38778
2,40,Sorted correctly
Chase-Lev time: 32446 us
Tasks created: 38778
2,41,Sorted correctly
Chase-Lev time: 34324 us
Tasks created: 38778
2,42,Sorted correctly
Chase-Lev time: 31789 us
Tasks created: 38778
2,43,Sorted correctly
Chase-Lev time: 33338 us
Tasks created: 38778
2,44,Sorted correctly
Chase-Lev time: 34341 us
Tasks created: 38778
2,45,Sorted correctly
Chase-Lev time: 32353 us
Tasks created: 38778
2,46,Sorted correctly
Chase-Lev time: 33044 us
Tasks created: 38778
2,47,Sorted correctly
Chase-Lev time: 32082 us
Tasks created: 38778
2,48,Sorted correctly
Chase-Lev time: 31318 us
Tasks created: 38778
2,49,Sorted correctly
Chase-Lev time: 32172 us
Tasks created: 38778
2,50,Sorted correctly
Chase-Lev time: 32960 us
Tasks created: 38778
2,51,Sorted correctly
Chase-Lev time: 32751 us
Tasks created: 38778
2,52,Sorted correctly
